id,title,url,date,publisher,archived_url,confidence,last_verified,url_status
20,FILDA 2022: Huambo quer captar investimentos para Agricultura e Turismo,https://www.embassyangolatr.org/pt/sala-de-imprensa/actualidade-informativa/filda-2022-huambo-quer-captar-investimentos-para-agricultura-e-turismo,2022-07-17,Embaixada da República de Angola na Türkiye,,high,2026-08-10,alive
21,Startup Summit é destaque na FILDA 2022 que arranca amanhã,https://www.menosfios.com/startup-summit-e-destaque-na-filda-2022-que-arranca-amanha/,2022-07-15,Menos Fios,,medium,2026-08-10,alive
22,FILDA 2022: Evento adiado para 16 à 20 de Julho,https://www.menosfios.com/filda-2022-evento-adiado-para-16-a-20-de-julho/,2022-07-12,Menos Fios,,medium,2026-08-10,alive
23,DESTACADO NA FILDA 2022 PROJECTO DE IMPACTO SOCIAL - PROSIL,https://www.isptec.co.ao/noticia/destacado-na-filda-2022-projecto-de-impacto-social---prosil,2022-08-02,ISPTEC,,high,2026-08-10,alive
24,CEFA news article (Feito em Angola),https://www.cefa.co.ao/Noticias/Id/350/1,2022-07,CEFA,,medium,2026-08-10,alive
25,Vidas ZAP reafirma responsabilidade social da ZAP na Lunda Norte e em Luanda,https://www.novagazeta.co.ao/artigo/vidas-zap-reafirma-responsabilidade-social-da-zap-na-lunda-norte-e-em-luanda,2022-07,Nova Gazeta,,medium,2026-08-10,alive
26,ExxonMobil participated in 37th FILDA (Esso Angola Facebook),https://www.facebook.com/EssoAngola/posts/a-exxonmobil-participou-na-37-edicao-da-filda-que-decorreu-de-16-a-20-de-julho-/1494175937685687/,2022-07,Esso Angola (Facebook),,low,2026-08-10,blocked
27,FILDA 2022: Porto do Lobito vence prémio de melhor participação dos transportes e logística,https://jornal24horas.ao/economia/filda-2022porto-do-lobito-vence-premio-de-melhor-participacao-dos-transportes-e-logistica/,2022-07-21,Jornal 24 Horas,,medium,2026-08-10,alive
28,Eventos Arena — Sonangol best participation FILDA 2022 (Facebook),https://www.facebook.com/eventosarena.angola/photos/durante-a-cerimonia-de-premios-filda-2022-a-sonangol-destacou-se-como-melhor-par/1870072219852414/,2022-07-20,Eventos Arena (Facebook),,low,2026-08-10,alive
29,38ª edição da FILDA arrancou nesta terça-feira em Luanda,https://www.rfi.fr/pt/angola/20230718-38-edicao-da-filda-arrancou-nesta-terca-feira-em-luanda,2023-07-18,RFI,,medium,2026-08-10,blocked
30,FILDA 2024 alcança volume de negócios de mais de 4 mil milhões de Kwanzas,https://scm.gov.ao/web/noticias/filda-2024-alcanca-volume-de-negocios-de-mais-de-4-mil-milhoes-de-kwanzas,2024-07-29,Ministério da Indústria e Comércio de Angola (via Angop),,high,2026-08-10,alive
31,"FILDA arranca com participação de 18 países, Portugal em destaque (visita Montenegro)",https://www.verangola.net/va/pt/072024/Economia/40859/FILDA-arranca-esta-Terca-feira-com-participacao-de-18-paises-Portugal-em-destaque-com-20-empresas-Visita-oficial-do-primeiro-ministro-portugues.htm,2024-07-22,VerAngola (LUSA),,medium,2026-08-10,alive
32,FILDA 2024 aconteceu sob olhar atento às famílias,https://www.radioecclesia.org/angola/economia/25910-filda-2024-aconteceu-sob-olhar-atento-as-familias,2024-07-28,Rádio Eclesia,,medium,2026-08-10,alive
33,FILDA deste ano arranca com garantias de acordos e parcerias,https://www.expansao.co.ao/empresas/detalhe/filda-deste-ano-arranca-com-garantias-de-acordos-e-parcerias-62287.html,2024-07-23,Expansão,,medium,2026-08-10,alive
34,Feira FILDA 2024,https://www.aeportugal.pt/pt/feira-filda-2024,2024,AEP (Associação Empresarial de Portugal),,high,2026-08-10,alive
35,Portugal e Angola assinam 12 acordos durante visita de Montenegro,https://www.forbespt.com/portugal-e-angola-assinam-12-acordos-durante-visita-de-montenegro/,2024-07-23,Forbes Portugal,,medium,2026-08-10,alive
36,Governo vai dar um novo impulso à relação com Angola,https://portugal.gov.pt/gc24/comunicacao/noticias/governo-vai-dar-um-novo-impulso-a-relacao-com-angola,2024-07-23,Governo de Portugal,,high,2026-08-10,alive
37,Angola e Portugal reforçam laços com 12 novos acordos,https://www.cipra.gov.ao/noticias/1740/governo/cooperacao-bilateral/angola-e-portugal-reforcam-lacos-com-12-novos-acordos,2024-07-23,CIPRA Angola,,high,2026-08-10,alive
38,BAI Europa FILDA 2024 (Chicomba dam agent bank),https://www.bancobaieuropa.pt/pt/institucional/noticias/todas/filda-2024/,2024-08-01,BAI Europa,,high,2026-08-10,alive
39,Montenegro anuncia reforço de 500 milhões de euros na linha de crédito Portugal-Angola,https://www.dn.pt/montenegro-anuncia-reforco-de-500-milhoes-de-euros-na-linha-de-credito-portugal-angola,2024-07-23,Diário de Notícias,,medium,2026-08-10,alive
40,Visita oficial do Primeiro-Ministro a Angola (23-25 julho 2024),https://portugal.gov.pt/gc24/comunicacao/comunicados/visita-oficial-do-primeiro-ministro-a-angola-23-24-e-25-de-julho-de-2024,2024-07-21,Governo de Portugal,,high,2026-08-10,alive
41,BAI apresenta soluções com sustentabilidade na FILDA 2024,https://www.verangola.net/va/pt/072024/BancaSeguros/40926/BAI-apresenta-solucoes-com-sustentabilidade-na-FILDA-2024.htm,2024-07-25,VerAngola,,medium,2026-08-10,alive
42,Standard Bank de Angola apresenta soluções financeiras inovadoras na FILDA 2024,https://www.verangola.net/va/pt/072024/BancaSeguros/40941/Standard-Bank-de-Angola-apresenta-solucoes-financeiras-inovadoras-e-eficientes-na-FILDA-2024.htm,2024-07-26,VerAngola,,medium,2026-08-10,alive
43,FILDA 2024: Sonangol vence grande prémio Leão de Ouro,https://diariodosnegocios.com/filda-2024-sonangol-vence-grande-premio-leao-de-ouro/,2024-07-28,Diário dos Negócios,,medium,2026-08-10,alive
44,FILDA 2024: Leão de Ouro volta à galeria da Sonangol,https://www.sonangol.co.ao/filda-2024-leao-de-ouro-volta-a-galeria-da-sonangol/,2024-07-28,Sonangol,,high,2026-08-10,alive
45,Sonangol leva projectos de transição energética na FILDA,https://www.angop.ao/noticias/economia/sonangol-leva-projectos-de-transicao-energetica-na-filda/,2024-07,Angop,,high,2026-08-10,alive
46,Unitel — Leão de Ouro telecom (Facebook),https://www.facebook.com/unitel.ao/posts/915796813924630/,2024-07-28,Unitel (Facebook),,medium,2026-08-10,blocked
47,Entrevistas FILDA 2024: UNITEL e a Transformação Digital,https://marcasemaccao.com/2024/07/26/unitel-e-a-transformacao-digital/,2024-07-26,Marcas em Acção,,low,2026-08-10,alive
48,Pay4all vence Prémio Leão de Ouro Economia Digital FILDA 2024,https://pay4all.ao/pay4all-vence-premio-leao-de-ouro-para-melhor-participacao-na-filda-2024-na-categoria-economia-digital/,2024-07-28,Pay4all,,high,2026-08-10,alive
49,Marcas em Acção na FILDA 2024 (IVECO/Ucall launches),https://marcasemaccao.com/2024/07/26/marcas-em-accao-na-filda-2024/,2024-07-26,Marcas em Acção,,low,2026-08-10,alive
50,39ª edição Filda 2024: Etu Energias marca presença,https://etuenergias.co.ao/noticias/39a-edicao-filda-2024-etu-energias-marca-presenca/122,2024-07,ETU Energias,,high,2026-08-10,alive
51,Balanço positivo da participação da Secil na FILDA 2024,http://secilmaritima.co.ao/balanco-positivo-da-participacao-da-secil-na-filda-2024/,2024-08,Secil Marítima,,high,2026-08-10,alive
52,Forum China PLP document (Fórum Macau),https://www.forumchinaplp.org.mo/uploads/ueditor/file/20241112/1731404295148056.pdf,2024-11-12,Forum Macau,,high,2026-08-10,alive
53,Catálogo Digital FILDA 2024,https://pt.scribd.com/document/880558075/Catalogo-Digital-Filda-2024,,Scribd,,low,2026-08-10,alive
54,Huatong Angola Industry conquista três prémios e é a grande vencedora dos AIPEX Awards,https://www.verangola.net/va/pt/072026/Economia/49508/Huatong-Angola-Industry-conquista-tres-premios-e-e-a-grande-vencedora-dos-AIPEX-Awards.htm,2026-07-17,VerAngola,,medium,2026-08-10,alive
55,Associação Empresarial de Portugal garante 20 empresas lusas na 41.ª edição da FILDA,https://www.verangola.net/va/pt/072026/Economia/49499/Associacao-Empresarial-de-Portugal-garante-20-empresas-lusas-na-41-edicao-da-FILDA.htm,2026-07-17,VerAngola (LUSA),,medium,2026-08-10,alive
56,Debate Mobilidade Angola estreia-se na FILDA (marcas chinesas),https://www.verangola.net/va/pt/072026/Transportes/49563/Debate-Mobilidade-Angola-estreia-se-na-FILDA-com-conversa-centrada-na-evolucao-das-marcas-chinesas.htm,2026-07-22,VerAngola,,medium,2026-08-10,alive
57,Sector privado responsável por 95% dos 774.000 empregos criados,https://www.verangola.net/va/pt/072026/Sociedade/49545/Sector-privado-responsavel-por-95-por-cento-dos-774000-empregos-criados-nos-ultimos-tres-anos.htm,2026-07-21,VerAngola (LUSA),,medium,2026-08-10,alive
58,Filda regressa em Julho com atenções viradas para província da Huíla,https://www.verangola.net/va/pt/052026/Economia/48725/Filda-regressa-em-Julho-com-atencoes-viradas-para-provincia-da-Huila.htm,2026-05-07,VerAngola,,medium,2026-08-10,alive
59,Abertas candidaturas aos prémios AIPEX Awards 2026,https://www.verangola.net/va/pt/052026/Industria/48879/Abertas-candidaturas-aos-premios-AIPEX-Awards-2026-que-vao-reconhecer-contributo-para-a-economia.htm,2026-05-20,VerAngola,,medium,2026-08-10,alive
60,Abertura da FILDA 2026 marcada por mensagem de incentivo do PR aos mais de 2300 expositores,https://www.verangola.net/va/pt/072026/Economia/49546/,2026-07-21,VerAngola,,medium,2026-08-10,alive
61,FILDA 2026: a montra da nova economia angolana (opinião Arsénio Bumba),https://www.verangola.net/va/pt/072026/opiniao/49503/,2026-07-17,VerAngola,,low,2026-08-10,alive
62,41.ª edição da FILDA (Event listing),https://www.verangola.net/va/pt/062026/eventos/49310/,,VerAngola,,low,2026-08-10,alive
63,Gala AIPEX Awards 2026 (Event listing),https://www.verangola.net/va/pt/062026/eventos/49253/,,VerAngola,,low,2026-08-10,alive
64,Autoridades angolanas vão criar linha verde para facilitar vistos,https://www.noticiasaominuto.com/economia/2362799/autoridades-angolanas-vao-criar-linha-verde-para-facilitar-vistos,2023-07-17,Notícias ao Minuto (Lusa),http://web.archive.org/web/20230718085749/https://www.noticiasaominuto.com/economia/2362799/autoridades-angolanas-vao-criar-linha-verde-para-facilitar-vistos,medium,2026-08-10,alive
65,Angola cria via verde para acelerar investimento estrangeiro,https://www.jornaldenegocios.pt/economia/mundo/africa/angola/detalhe/angola_cria_via_verde_para_acelerar_investimento_estrangeiro,,Jornal de Negócios,,medium,2026-08-10,alive
66,Visto de Privilegiado,https://consuladogeral-angola.pt/servicos/visto/visto-de-privilegiado/,,consuladogeral-angola.pt,,high,2026-08-10,alive
67,Janela Única do Investimento (JUI) Portal,https://jui.aipex.gov.ao/,,AIPEX,,high,2026-08-10,alive
68,AIPEX Portal,https://www.aipex.gov.ao/PortalAIPEX/,,AIPEX,,high,2026-08-10,alive
69,Invest in Angola — Investor Regulation,https://investinangola.ao/pt/investor-regulation/,,investinangola.ao,,high,2026-08-10,alive
70,AIPEX launches Invest in Angola platform,https://www.cnbcafrica.com/2024/aipex-launches-invest-in-angola-platform-a-new-era-for-investment-in-angola,2024-07-24,CNBC Africa,,medium,2026-08-10,alive
71,Invest in Angola portal,https://investinangola.ao/pt/,,investinangola.ao,,high,2026-08-10,alive
72,Angola launches investor portal,https://the.ismaili/angola/angola-launches-investor-portal,,the.ismaili,,low,2026-08-10,alive
73,AngoSat-2 (satellite specifications and launch data),https://en.wikipedia.org/wiki/AngoSat_2,,Wikipedia,,low,2026-08-10,alive
74,Transformar Angola num operador e produtor de tecnologia espacial,https://inacom.gov.ao/2025/04/19/transformar-angola-em-um-operador-e-produtor-de-tecnologia-espacial/,2025-04-19,INACOM,,high,2026-08-10,alive
75,Transformar Angola num hub regional de telecomunicações,https://inacom.gov.ao/2025/10/23/transformar-angola-num-hub-regional-de-telecomunicacoes/,2025-10-23,INACOM,,high,2026-08-10,alive
76,Angola expands rural broadband using Angosat-2 and TV White Space,https://www.ecofinagency.com/news-digital/1707-57482-angola-expands-rural-broadband-using-angosat-2-and-t-v-white-space,2026-07,Ecofin Agency,,medium,2026-08-10,alive
77,GGPEN Angosat-2 page,https://www.ggpen.gov.ao/solucoes/angosat-2,,GGPEN,,high,2026-08-10,alive
78,From connectivity to earth observation: Angola's growing space economy,https://spaceinafrica.com/2026/05/20/from-connectivity-to-earth-observation-angolas-growing-space-economy/,2026-05-20,Space in Africa,,medium,2026-08-10,alive
79,Telecom Namibia signs pilot commercial agreement with GGPEN for Angosat-2,https://www.telecom.na/media-centre/909-telecom-namibia-signs-pilot-commercial-agreement-with-angolas-ggpen-for-angosat-2-satellite-services,,telecom.na,,medium,2026-08-10,alive
80,Angosat-2 begins operational tests in Boane,https://clubofmozambique.com/news/angosat-2-begins-operational-tests-in-boane-as-angola-and-mozambique-sign-bilateral-space-and-ict-agreements/,,Club of Mozambique,,medium,2026-08-10,alive
81,Angola Cables (submarine cables),https://www.angolacables.co.ao/,,angolacables.co.ao,,high,2026-08-10,alive
82,Angola-Zambia-e-RDC conectadas via fibra óptica,https://angola.org/angola-zambia-e-rdc-conectadas-via-fibra-optica/,,angola.org,,high,2026-08-10,alive
83,VI Encontro Angola-Portugal Business Networking CCIPA 2023,https://luanda.embaixadaportugal.mne.gov.pt/pt/a-embaixada/noticias/vi-encontro-angola-portugal-business-networking-ccipa-2023,2023-07-17,Embaixada de Portugal em Luanda (MNE),,high,2026-08-10,alive
84,CCIPA reúne empresários e governantes (VII Encontro),https://revistaoutside.com/2024/07/24/ccipa-reune-empresarios-e-governantes-para-debater-o-futuro-empresarial-de-angola-e-portugal/,2024-07-24,Revista Outside,,medium,2026-08-10,alive
85,VII Encontro Angola-Portugal,https://www.cciportugal-angola.pt/vii-encontro-angola-portugal,2024-07-24,CCIPA,,high,2026-08-10,alive
86,CCIPA Events page,https://www.cciportugal-angola.pt/eventos,,CCIPA,,high,2026-08-10,alive
87,IX Business Networking Angola-Portugal Conferências,https://www.verangola.net/va/pt/072026/eventos/49519/IX-Business-Networking-Angola-Portugal-Conferencias.htm,2026-07-20,VerAngola,,medium,2026-08-10,alive
88,CCIPA LinkedIn page,https://ao.linkedin.com/company/cciportugal-angola,,LinkedIn,,low,2026-08-10,alive
89,CIP e Angola reforçam laços económicos e institucionais,https://cip.org.pt/cip-e-angola-reforcam-lacos-economicos-e-institucionais/,2025-03-31,CIP,,high,2026-08-10,alive
90,AIPEX assina três acordos de cooperação com entidades portuguesas,https://forbesafricalusofona.com/agencia-de-investimento-privado-e-promocao-das-exportacoes-de-angola-assina-tres-acordos-de-cooperacao-com-entidades-portuguesas/,2025-07-26,Forbes África Lusófona,,medium,2026-08-10,alive
92,Portugal e Angola: uma relação profunda com muito futuro para construir,https://portugal.gov.pt/gc24/comunicacao/noticias/portugal-e-angola-uma-relacao-profunda-com-muito-futuro-para-construir,,Governo de Portugal,,high,2026-08-10,alive
93,Angola defende nova etapa de cooperação com Portugal centrada no investimento produtivo,https://www.rtp.pt/noticias/economia/angola-defende-nova-etapa-de-cooperacao-com-portugal-centrada-no-investimento-produtivo_n1754718,,RTP,,medium,2026-08-10,alive
94,Defendida nova etapa na parceria económica luso-angolana,https://www.jornaldeangola.ao/noticias/4/economia/681553/defendida-nova-etapa-na-parceria-economica-luso-angolana,2026-07-23,Jornal de Angola,,medium,2026-08-10,alive
95,Empresas portuguesas não temem concorrência em Angola,https://www.rtp.pt/noticias/economia/empresas-portuguesas-nao-temem-concorrencia-em-angola-secretario-de-estado-da-economia_n1754724,,RTP,,medium,2026-08-10,alive
96,Empresas portuguesas sem medo da concorrência em Angola,https://portugalglobal.pt/noticias/2026/julho/empresas-portuguesas-sem-medo-da-concorrencia-em-angola/,2026-07,Portugal Global,,medium,2026-08-10,alive
97,Investimento português na ZEE atinge USD 330 milhões,https://www.angonoticias.com/Artigos/item/82396/investimento-portugues-na-zee-atinge-usd-330-milhoes,2026-07-22,Angonoticias/Angop,,medium,2026-08-10,alive
98,Angola's economic rebound and the impact of the ZEE free trade zone,https://www.investmentmonitor.ai/interviews/angolas-economic-rebound-and-the-impact-of-the-zee-free-trade-zone/,2023-07-14,Investment Monitor,,medium,2026-08-10,alive
99,Angola já investe quase o dobro do que Portugal em Angola,https://eco.sapo.pt/2026/07/18/angola-ja-investe-quase-o-dobro-do-que-portugal-em-angola/,2026-07-18,ECO/Lusa,,medium,2026-08-10,alive
100,AEP leva 20 empresas nacionais à maior feira de negócios de Angola,https://www.dn.pt/empresas/aep-leva-20-empresas-nacionais-maior-feira-de-negcios-de-angola,2026-07-17,DN/Dinheiro Vivo,,medium,2026-08-10,alive
101,FILDA 2025 inicia terça-feira com preço do ingresso a quatro mil kwanzas,https://angop.ao/noticias/economia/filda-2025-inicia-terca-feira-com-preco-do-ingresso-a-quatro-mil-kwanzas/,2025-07,Angop,,high,2026-08-10,alive
102,40ª edição da FILDA em 2025 com novo nome,https://maisafrika.com/outros/mulheres/40-a-edicao-da-filda-em-2025-com-novo-nome/,2025-06-27,Mais Afrika,,medium,2026-08-10,alive
103,FILDA abre hoje com previsão de arrecadar dois bilhões de kwanzas em negócios,https://rna.ao/rna.ao/2023/07/18/filda-abre-hoje-com-a-previsao-de-arrecadar-dois-bilhoes-de-kwanzas-em-negocios/,2023-07-18,RNA,,medium,2026-08-10,alive
104,FILDA 2024 movimentou negócios in loco (ApexBrasil delegation),https://apexbrasil.com.br/br/pt/conteudo/noticias/filda-2024-movimentou-mais-de-us-30-mil-em-negocios-in-loco-par.html,2024,ApexBrasil,,high,2026-08-10,alive
105,Empresas brasileiras estreiam-se na Angola Startup Summit 2024,https://forbesafricalusofona.com/empresas-brasileiras-estreiam-se-na-angola-startup-summit-2024/,2024-05-17,Forbes África Lusófona,,medium,2026-08-10,alive
106,Angola Startup Summit edição 2024 arranca hoje com 125 startups,https://www.menosfios.com/angola-startup-summit-edicao-2024-arranca-hoje-com-125-startups/,2024-05-16,Menos Fios,,medium,2026-08-10,alive
107,Angola Startup Summit regressa em maio,https://pti.ao/angola-startup-summit-regressa-em-maio/,2024-04-09,PTI.ao,,medium,2026-08-10,alive
108,INAPEM quer levar 100 empreendedores da Huíla para o Angola Startup Summit 2025,https://www.opais.ao/economia/inapem-quer-levar-100-empreendedores-da-huila-para-o-angola-startup-summit-2025/,2025-01-14,OPaís,,medium,2026-08-10,alive
109,Startup Angola 2024 com mais de 120 inscrições,https://angop.ao/en/noticias/economia/startup-angola-2024-com-mais-de-120-inscricoes/,2024,Angop,,high,2026-08-10,alive
110,Angola Startup Summit official site,https://www.startupsummit.gov.ao/,,startupsummit.gov.ao,http://web.archive.org/web/20260521204008/http://startupsummit.gov.ao/,high,2026-08-10,dead
111,FILDA sai de Luanda mas mantém o nome,https://noticiaslusofonas.com/2025/06/26/filda-sai-de-luanda-mas-mantem-o-nome/,2025-06-26,Notícias Lusófonas,,medium,2026-08-10,alive
112,Organização da FILDA 2026 contabiliza 2.348 participações directas e indirectas,https://forbesafricalusofona.com/organizacao-da-filda-2026-contabiliza-2-348-participacoes-directas-e-indirectas/,,Forbes África Lusófona,,medium,2026-08-10,alive
113,FILDA 2026 arranca com foco na inovação tecnologia e produção nacional,https://www.menosfios.com/filda-2026-arranca-com-foco-na-inovacao-tecnologia-e-producao-nacional/,,Menos Fios,,medium,2026-08-10,alive
114,FILDA 2026: Angola quer apostar na produção nacional para conquistar novos mercados,https://www.rfi.fr/pt/africa-lusofona/20260722-filda-2026-angola-quer-apostar-na-producao-nacional-para-conquistar-novos-mercados,2026-07-22,RFI,,medium,2026-08-10,blocked
115,41ª edição da FILDA — inscreva-se,https://portugalglobal.pt/noticias/2026/marco/41-edicao-da-filda-feira-internacional-de-luanda-inscreva-se/,2026-03,PortugalGlobal/AICEP,,high,2026-08-10,dead
116,FILDA Luanda International Trade Fair 2024,https://www.mondaq.com/pressrelease/147760/filda-luanda-international-trade-fair-2024,,Mondaq/Inventa,,medium,2026-08-10,alive
117,Luanda acolhe lançamento oficial da FILDA 2026,https://mindcom.gov.ao/web/noticias/luanda-acolhe-lancamento-oficial-da-filda-2026,,Mindcom,,high,2026-08-10,alive
118,FILDA 2026 está às portas e deve movimentar mais de 2 mil participações,https://www.economiaemercado.com/artigo/filda-2026-esta-as-portas-e-deve-movimentar-mais-de-2-mil-participacoes-nacionais-e-internacionais,,Economia e Mercado,,medium,2026-08-10,alive
119,"Jornal de Negócios — publisher cited, article URL not pinned",,,Jornal de Negócios,,low,2026-08-10,n/a
120,"Reuters — publisher cited, article URL not pinned",,,Reuters,,low,2026-08-10,n/a
121,"Angolan Mining Oil & Gas — publisher cited, article URL not pinned",,,Angolan Mining Oil & Gas,,low,2026-08-10,n/a
122,FILDA 2025: Leão de Ouro Permanece na Galeria da Sonangol,https://www.sonangol.co.ao/filda-2025-i-leao-de-ouro-permanece-na-galeria-da-sonangol/,2025-07,Sonangol,,high,2026-08-10,alive
123,ETU Energias recebe Leão de Ouro na FILDA 2025 e menção honrosa (25 anos),https://etuenergias.co.ao/noticias/etu-energias-recebe-leao-de-ouro-na-filda-2025-e-mencao-honrosa-pela-sua-trajectoria-de-excellencia-no-sector-petrolifero/178,2025-07,ETU Energias,,high,2026-08-10,alive
124,Parceria Estratégica BFA e Mashreq Bank (USD correspondent banking),https://www.bfa.ao/pt/o-bfa/actualidade/noticias/parceria-estrategica-bfa-e-mashreq-bank/,2025-07-16,BFA,,high,2026-08-10,alive
125,Huatong Angola to Invest $900 Million in Barra do Dande Port Terminal,https://360angola.com/business/infrastructure/huatong-angola-to-invest-900-million-in-barra-do-dande-port-terminal/,2026-07-20,360 Angola,,medium,2026-08-10,alive
126,Vice-Presidente conhece novas soluções financeiras do BDA na FILDA,https://correiokianda.info/vice-presidente-conhece-novas-solucoes-financeiras-do-bda-na-filda/,2025-07,Correio da Kianda,,medium,2026-08-10,alive
127,AEP regressa a Luanda com 15 empresas nacionais (FILDA 2025 delegation),https://portugalglobal.pt/pt/noticias/2025/julho/aep-regressa-a-luanda-com-15-empresas-nacionais/,2025-07,Portugal Global/AICEP,,high,2026-08-10,alive
128,Portuguese banking union finances 66ME water project in Angola's Huíla (Chicomba dam),https://medafricatimes.com/33963-portuguese-banking-union-finances-66me-water-project-in-angolas-hula.html,2024-07,Medafrica Times,,medium,2026-08-10,alive
129,"Obras da represa de Chicomba lançadas (construction start, Cuvunji river)",https://angop.ao/noticias/economia/obras-da-represa-de-chicomba-lancadas-no-neste-sabado/,2026-06,Angop,,high,2026-08-10,alive
130,Presidente inaugura fábrica de alumínio de investimento chinês de 250 milhões de dólares,https://www.verangola.net/va/pt/012026/Industria/47424/Presidente-inaugura-f%C3%A1brica-de-alum%C3%ADnio-de-investimento-chin%C3%AAs-de-250-milh%C3%B5es-de-d%C3%B3lares.htm,2026-01-15,VerAngola,,high,2026-08-10,alive
131,"First 1,000 tons exported to the Netherlands",https://www.opais.ao/economia/bengo-inicia-hoje-primeira-exportacao-de-aluminio-produzido-no-parque-industrial-huatong-angola/,,,,medium,2026-08-10,alive
132,"ANPG, Sonangol, Shell and Chevron Sign Agreement for Block 33/24 at AOG 2025",https://angolaoilandgas.com/news/anpg-sonangol-shell-chevron-sign-agreement-block-33-24-aog-2025,2025,Angola Oil & Gas,,medium,2026-08-10,alive
133,Angola's Energy Sector Rebounds in 2026 as $100 Billion Investment Pipeline Signals New Growth Cycle,https://angolanminingoilandgas.com/angolas-energy-sector-rebounds-in-2026-as-100-billion-investment-pipeline-signals-new-growth-cycle/,2026-04-07,Angola Mining Oil and Gas,,medium,2026-08-10,alive
134,[Angola Startup Summit] Conheça as startups vencedoras do evento,https://www.menosfios.com/angola-startup-summit-conheca-as-startups-vencedoras-do-evento/,2024-05-20,Menos Fios,,medium,2026-08-10,alive
